Datetime,ms,Pressure(kPa),Temp(C)
2023-02-22 16:39:57,0,97.3481,4.139
2023-02-22 16:44:57,0,97.3316,4.083
2023-02-22 16:49:57,0,97.3335,4.036
2023-02-22 16:54:57,0,97.3391,4.007
2023-02-22 16:59:57,0,97.3513,3.987
2023-02-22 17:04:57,0,97.3258,3.977
2023-02-22 17:09:57,0,97.2794,3.974
2023-02-22 17:14:57,0,97.2949,3.974
2023-02-22 17:19:57,0,97.2754,3.955
2023-02-22 17:24:57,0,97.3056,3.914
2023-02-22 17:29:57,0,97.2795,3.879
2023-02-22 17:34:57,0,97.2891,3.843
2023-02-22 17:39:57,0,97.3232,3.822
2023-02-22 17:44:57,0,97.3714,3.797
2023-02-22 17:49:57,0,97.3773,3.776
2023-02-22 17:54:57,0,97.4785,3.757
2023-02-22 17:59:57,0,97.5057,3.765
2023-02-22 18:04:57,0,97.457,3.774
2023-02-22 18:09:57,0,97.4517,3.765
2023-02-22 18:14:57,0,97.4218,3.743
2023-02-22 18:19:57,0,97.4146,3.694
2023-02-22 18:24:57,0,97.4196,3.635
2023-02-22 18:29:57,0,97.4672,3.578
2023-02-22 18:34:57,0,97.5302,3.542
2023-02-22 18:39:57,0,97.6146,3.494
2023-02-22 18:44:57,0,97.6568,3.402
2023-02-22 18:49:57,0,97.6763,3.269
2023-02-22 18:54:57,0,97.6355,3.199
2023-02-22 18:59:57,0,97.5892,3.154
2023-02-22 19:04:57,0,97.5866,3.089
2023-02-22 19:09:57,0,97.6119,3.021
2023-02-22 19:14:57,0,97.591,2.981
2023-02-22 19:19:57,0,97.5284,2.94
2023-02-22 19:24:57,0,97.4794,2.918
2023-02-22 19:29:57,0,97.4655,2.908
2023-02-22 19:34:57,0,97.5349,2.918
2023-02-22 19:39:57,0,97.4628,2.96
2023-02-22 19:44:57,0,97.4699,2.999
2023-02-22 19:49:57,0,97.4456,3.038
2023-02-22 19:54:57,0,97.4505,3.079
2023-02-22 19:59:57,0,97.479,3.109
2023-02-22 20:04:57,0,97.4887,3.118
2023-02-22 20:09:57,0,97.4867,3.109
2023-02-22 20:14:57,0,97.5093,3.1
2023-02-22 20:19:57,0,97.5124,3.107
2023-02-22 20:24:57,0,97.5135,3.123
2023-02-22 20:29:57,0,97.5174,3.131
2023-02-22 20:34:57,0,97.5174,3.102
2023-02-22 20:39:57,0,97.5314,3.063
2023-02-22 20:44:57,0,97.5393,3.018
2023-02-22 20:49:57,0,97.5359,2.991
2023-02-22 20:54:57,0,97.593,2.976
2023-02-22 20:59:57,0,97.6986,2.976
2023-02-22 21:04:57,0,97.6823,3.044
2023-02-22 21:09:57,0,97.6956,3.151
2023-02-22 21:14:57,0,97.7442,3.269
2023-02-22 21:19:57,0,97.769,3.357
2023-02-22 21:24:57,0,97.7685,3.411
